0
1
15,0625
15,25
24,75
30,0625
27,6875
30
36,6875
48,4375
60,1875
70
80,875
88,6875
91,625
96,8125
97,9375
96,375
94,8125
88,875
83,125
80,875
81,25
84,25
88,6875
93,25
98,375
97,6875
94,375
90,5625
83,625
75,5625
66,9375
62,5
61,1875
58,5625
59,625
64,375
70,375
80
86,4375
88
89,4375
85,75
74,625
60,375
46,3125
34,5625
24,875
17,8125
15,875
17,75
22,875
27,625
29,5
32,5
33,125
31,125
27,4375
23,5
20,375
14,5625
9,125
8,8125
9,75
10,875
13
14,8125
17,0625
17,875
16,0625
14,6875
13,9375
11,875
7
4,25
6,0625
8,375
10,25
16,1875
23,25
29,25
36,6875
42,1875
45,6875
48,5625
48
41,1875
31,3125
20,875
13,625
6,5625
3,9375
8,1875
16,75
26,1875
34,375
43,125
52,0625
58,4375
62,6875
61,8125
54,625
44,6875
31,5
15,0625
0,8125
-8,75
-12,6875
-12,3125
-7,5
1,25
13,4375
26,1875
38,25
46,375
48,875
45,5625
37,4375
24,25
7,25
-6,6875
-18,8125
-24,625
-24,1875
-20,3125
-13,375
-4,625
5,375
2
11,4375
15,75
17,875
15,0625
13,1875
15,1875
22
34,4375
46,25
56,25
67,1875
75,1875
78,125
83
84,875
83,3125
81,625
76
70,6875
68,0625
68,5
71,9375
76,375
80,6875
86,0625
85,75
82,375
78,6875
71,875
64,0625
55,3125
50,75
49,4375
47
47,9375
52,875
59,375
69,25
75,625
77,5625
79,5625
75,25
64,1875
50
36,0625
24,4375
14,75
8,0625
6,125
7,875
13,1875
18,1875
20,375
23,1875
23,3125
21,5625
17,8125
14,1875
11,1875
6,0625
1,0625
0,1875
0,8125
2,125
4,6875
6,4375
8,6875
9,5
7,9375
6,8125
6,25
3,625
-1,0625
-4
-2,4375
0,25
2,1875
8,5
15,875
21,5625
28,6875
34,5
38,375
41,125
40,875
34,0625
24
13,5625
6,625
-0,25
-3,25
1,0625
10,125
19,5
27,3125
36,3125
45,25
51,3125
55,75
55,3125
48,5625
38,4375
25,0625
9,0625
-5,1875
-15,1875
-18,8125
-18,5
-13,4375
-4,875
